Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
150,,CASH,Candy ,Candy ,0.00,0.70,Drive Box,8/25/25 10:10 AM,8/25/25 10:10 AM
149,,CREDIT,Candy ,Candy ,0.00,4.09,,8/25/25 10:11 AM,8/25/25 10:08 AM
133,,CASH,Candy ,Candy ,0.00,12.91,Drive Box,8/25/25 10:13 AM,8/25/25 9:49 AM
144,12,CREDIT,Rosa,Rosa,0.00,71.25,,8/25/25 10:13 AM,8/25/25 10:05 AM
146,12,CREDIT,Rosa,Rosa,0.00,12.47,,8/25/25 10:13 AM,8/25/25 10:05 AM
100,12,CASH,Rosa,Rosa,0.00,19.78,,8/25/25 10:14 AM,8/25/25 9:18 AM
148,17,CREDIT,Rosa,Ivana,0.00,8.62,,8/25/25 10:22 AM,8/25/25 10:08 AM
135,22,CREDIT,Silvia,Silvia,6.00,22.16,,8/25/25 10:22 AM,8/25/25 9:50 AM
138,24,CASH,Rosa,Rosa,0.00,18.94,,8/25/25 10:23 AM,8/25/25 10:00 AM
120,32,CASH,Rosa,Rosa,0.00,10.81,,8/25/25 10:24 AM,8/25/25 9:35 AM
132,39,CREDIT,Silvia,Silvia,5.00,39.15,,8/25/25 10:24 AM,8/25/25 9:49 AM
161,,CASH,Ivana,Ivana,0.00,23.73,Front Left,8/25/25 10:34 AM,8/25/25 10:34 AM
152,36,CASH,Silvia,Silvia,0.00,37.53,,8/25/25 10:34 AM,8/25/25 10:15 AM
143,25,CREDIT,Maria,Maria,0.00,42.13,,8/25/25 10:34 AM,8/25/25 10:03 AM
162,,CREDIT,Candy ,Candy ,0.00,8.03,,8/25/25 10:35 AM,8/25/25 10:34 AM
163,,CASH,Candy ,Candy ,0.00,2.15,Drive Box,8/25/25 10:38 AM,8/25/25 10:37 AM
165,,CREDIT,Candy ,Candy ,0.00,18.12,,8/25/25 10:40 AM,8/25/25 10:38 AM
141,31,CREDIT,Silvia,Silvia,8.00,44.08,,8/25/25 10:40 AM,8/25/25 10:02 AM
155,34,CREDIT,Maria,Maria,5.00,13.27,,8/25/25 10:45 AM,8/25/25 10:21 AM
154,3,CREDIT,Rosa,Rosa,8.00,33.53,,8/25/25 10:46 AM,8/25/25 10:20 AM
151,,CREDIT,Candy ,Candy ,0.00,9.48,,8/25/25 10:47 AM,8/25/25 10:13 AM
156,7,CASH,Silvia,Silvia,0.00,30.82,,8/25/25 10:51 AM,8/25/25 10:27 AM
160,24,CREDIT,Silvia,,2.09,11.32,,8/25/25 10:52 AM,8/25/25 10:31 AM
175,,CREDIT,Candy ,Candy ,0.00,4.30,,8/25/25 10:54 AM,8/25/25 10:54 AM
169,,CREDIT,Candy ,Candy ,0.00,11.21,,8/25/25 10:57 AM,8/25/25 10:48 AM
168,,CREDIT,Candy ,Candy ,2.00,20.13,,8/25/25 10:58 AM,8/25/25 10:46 AM
157,23,CREDIT,Maria,Maria,0.00,37.77,,8/25/25 10:59 AM,8/25/25 10:29 AM
171,,CREDIT,Candy ,Candy ,3.00,23.97,,8/25/25 11:02 AM,8/25/25 10:51 AM
114,33,CREDIT,Maria,Maria,0.00,33.91,,8/25/25 11:04 AM,8/25/25 9:26 AM
177,,CASH,Candy ,Candy ,0.00,28.51,Drive Box,8/25/25 11:05 AM,8/25/25 10:58 AM
153,33,CREDIT,Maria,Maria,0.00,15.44,,8/25/25 11:06 AM,8/25/25 10:17 AM
180,,CREDIT,Candy ,Candy ,0.00,6.04,,8/25/25 11:07 AM,8/25/25 11:02 AM
181,,CREDIT,Candy ,Candy ,5.00,13.94,,8/25/25 11:08 AM,8/25/25 11:04 AM
166,22,CREDIT,Rosa,Rosa,4.46,35.54,,8/25/25 11:09 AM,8/25/25 10:44 AM
158,41,CREDIT,Rosa,Rosa,5.00,15.63,,8/25/25 11:11 AM,8/25/25 10:30 AM
182,,CASH,Candy ,Candy ,0.00,4.30,Drive Box,8/25/25 11:11 AM,8/25/25 11:06 AM
186,41,CREDIT,Rosa,Rosa,1.00,20.38,,8/25/25 11:13 AM,8/25/25 11:11 AM
164,17,CREDIT,Rosa,Rosa,5.00,17.28,,8/25/25 11:13 AM,8/25/25 10:36 AM
172,,CASH,Ivana,Ivana,0.00,15.11,Front Left,8/25/25 11:14 AM,8/25/25 10:51 AM
184,,CASH,Candy ,Candy ,0.00,5.39,Drive Box,8/25/25 11:14 AM,8/25/25 11:08 AM
185,,CREDIT,Candy ,Candy ,0.00,38.62,,8/25/25 11:17 AM,8/25/25 11:11 AM
189,,CREDIT,Candy ,Candy ,2.00,22.12,,8/25/25 11:19 AM,8/25/25 11:14 AM
191,,CASH,Candy ,Candy ,0.00,2.48,Drive Box,8/25/25 11:21 AM,8/25/25 11:19 AM
192,,CREDIT,Candy ,Candy ,1.00,5.39,,8/25/25 11:23 AM,8/25/25 11:20 AM
170,18,CASH,Silvia,Silvia,0.00,19.03,,8/25/25 11:24 AM,8/25/25 10:49 AM
195,,CREDIT,Candy ,Candy ,0.00,4.09,,8/25/25 11:24 AM,8/25/25 11:21 AM
197,,CREDIT,Candy ,Candy ,1.00,10.58,,8/25/25 11:25 AM,8/25/25 11:23 AM
198,,CREDIT,Candy ,Candy ,0.00,13.38,,8/25/25 11:29 AM,8/25/25 11:24 AM
203,,CREDIT,Candy ,Candy ,0.00,24.15,,8/25/25 11:30 AM,8/25/25 11:29 AM
174,25,CASH,Maria,Maria,0.00,18.03,,8/25/25 11:34 AM,8/25/25 10:53 AM
205,,CREDIT,Candy ,Candy ,0.00,15.32,,8/25/25 11:36 AM,8/25/25 11:30 AM
207,,CASH,Candy ,Candy ,0.00,18.12,Drive Box,8/25/25 11:37 AM,8/25/25 11:31 AM
183,32,CREDIT,Maria,Maria,6.00,32.44,,8/25/25 11:37 AM,8/25/25 11:09 AM
209,,CREDIT,Candy ,Candy ,2.00,8.62,,8/25/25 11:38 AM,8/25/25 11:32 AM
211,,CASH,Candy ,Candy ,0.00,12.44,Drive Box,8/25/25 11:41 AM,8/25/25 11:32 AM
213,,CASH,Candy ,Candy ,0.00,12.15,Drive Box,8/25/25 11:42 AM,8/25/25 11:36 AM
216,,CREDIT,Candy ,Candy ,1.00,23.99,,8/25/25 11:45 AM,8/25/25 11:38 AM
223,,CREDIT,Candy ,Candy ,0.00,3.73,,8/25/25 11:45 AM,8/25/25 11:45 AM
188,36,CREDIT,Maria,Maria,0.00,30.69,,8/25/25 11:47 AM,8/25/25 11:20 AM
217,,CASH,Candy ,Candy ,0.00,17.31,Drive Box,8/25/25 11:48 AM,8/25/25 11:39 AM
179,35,CREDIT,Rosa,Rosa,5.00,33.99,,8/25/25 11:49 AM,8/25/25 11:02 AM
219,,CREDIT,Candy ,Candy ,0.00,17.71,,8/25/25 11:49 AM,8/25/25 11:43 AM
176,37,CREDIT,Silvia,Silvia,0.00,7.55,,8/25/25 11:50 AM,8/25/25 10:56 AM
221,,CREDIT,Candy ,Candy ,0.00,35.99,,8/25/25 11:51 AM,8/25/25 11:45 AM
159,20,CASH,Maria,Maria,0.00,33.55,,8/25/25 11:53 AM,8/25/25 10:33 AM
228,,CREDIT,Ivana,Ivana,1.00,12.30,,8/25/25 11:53 AM,8/25/25 11:53 AM
224,,CREDIT,Candy ,Candy ,3.00,28.96,,8/25/25 11:56 AM,8/25/25 11:46 AM
201,18,CREDIT,Rosa,Rosa,4.00,23.28,,8/25/25 11:57 AM,8/25/25 11:28 AM
227,,CREDIT,Candy ,Candy ,2.00,8.09,,8/25/25 11:58 AM,8/25/25 11:49 AM
178,26,CASH,Silvia,Silvia,0.00,8.09,,8/25/25 11:58 AM,8/25/25 11:02 AM
232,,CREDIT,Candy ,Candy ,0.00,3.88,,8/25/25 11:58 AM,8/25/25 11:53 AM
233,,CASH,Candy ,Candy ,0.00,16.54,Drive Box,8/25/25 12:00 PM,8/25/25 11:54 AM
200,22,CREDIT,Silvia,Silvia,5.00,23.19,,8/25/25 12:04 PM,8/25/25 11:27 AM
199,23,CREDIT,Maria,Ivana,0.00,27.74,,8/25/25 12:04 PM,8/25/25 11:27 AM
236,,CREDIT,Candy ,Candy ,1.00,10.09,,8/25/25 12:04 PM,8/25/25 11:57 AM
238,,CREDIT,Candy ,Candy ,0.00,6.04,,8/25/25 12:06 PM,8/25/25 11:58 AM
240,,CREDIT,Candy ,Candy ,0.00,6.36,,8/25/25 12:07 PM,8/25/25 12:01 PM
215,38,CASH,Silvia,Silvia,0.00,21.85,,8/25/25 12:08 PM,8/25/25 11:37 AM
208,19,CREDIT,Rosa,,4.00,30.74,,8/25/25 12:08 PM,8/25/25 11:32 AM
241,,CREDIT,Candy ,Candy ,0.00,34.98,,8/25/25 12:09 PM,8/25/25 12:04 PM
244,,CREDIT,Candy ,Candy ,0.00,17.12,,8/25/25 12:10 PM,8/25/25 12:06 PM
242,,CASH,Ivana,Ivana,0.00,4.75,Front Left,8/25/25 12:14 PM,8/25/25 12:05 PM
245,,CREDIT,Candy ,Candy ,0.00,8.61,,8/25/25 12:17 PM,8/25/25 12:08 PM
190,24,CASH,Rosa,Rosa,0.00,62.84,,8/25/25 12:18 PM,8/25/25 11:17 AM
251,,CREDIT,Candy ,Candy ,0.00,10.03,,8/25/25 12:18 PM,8/25/25 12:13 PM
256,,CREDIT,Candy ,Candy ,0.00,2.15,,8/25/25 12:19 PM,8/25/25 12:19 PM
193,7,CREDIT,Maria,Ivana,0.00,27.45,,8/25/25 12:21 PM,8/25/25 11:22 AM
257,,CASH,Candy ,Candy ,0.00,10.19,Drive Box,8/25/25 12:22 PM,8/25/25 12:20 PM
222,34,CREDIT,Rosa,Rosa,0.00,36.97,,8/25/25 12:24 PM,8/25/25 11:45 AM
218,15,CASH,Silvia,Silvia,0.00,17.07,,8/25/25 12:25 PM,8/25/25 11:40 AM
194,16,CREDIT,Silvia,Silvia,2.00,20.55,,8/25/25 12:25 PM,8/25/25 11:24 AM
12001,20,CASH,Maria,Maria,0.00,25.94,,8/25/25 12:25 PM,8/25/25 11:53 AM
212,37,CASH,Silvia,Maria,0.00,15.14,,8/25/25 12:26 PM,8/25/25 11:36 AM
259,,CREDIT,Candy ,Candy ,0.00,9.80,,8/25/25 12:30 PM,8/25/25 12:22 PM
243,9,CREDIT,Rosa,Rosa,10.00,26.71,,8/25/25 12:32 PM,8/25/25 12:06 PM
249,23,CREDIT,Maria,Maria,4.00,14.91,,8/25/25 12:32 PM,8/25/25 12:13 PM
260,,CREDIT,Candy ,Candy ,0.00,22.29,,8/25/25 12:33 PM,8/25/25 12:24 PM
220,32,CASH,Rosa,Rosa,0.00,35.84,,8/25/25 12:34 PM,8/25/25 11:43 AM
196,33,CASH,Rosa,Rosa,0.00,52.29,,8/25/25 12:34 PM,8/25/25 11:23 AM
261,,CREDIT,Candy ,Candy ,1.00,9.38,,8/25/25 12:34 PM,8/25/25 12:25 PM
